hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC004719,ToU,2012-03-31,2014-02-27,699,668.0,0
MAC004948,ToU,2012-01-21,2014-02-27,769,739.0,0
MAC004952,ToU,2012-01-23,2014-02-27,767,740.0,0
MAC005085,ToU,2012-05-30,2014-02-27,638,616.0,0
MAC005474,ToU,2012-04-16,2014-02-27,682,657.0,0
MAC005549,ToU,2012-04-18,2014-02-27,678,654.0,0
MAC000004,Std,2012-05-08,2014-02-27,660,636.0,0
MAC000059,Std,2011-12-09,2014-02-27,812,780.0,0
MAC000090,Std,2011-12-12,2014-02-27,809,775.0,0
MAC000143,Std,2011-12-16,2014-02-27,805,774.0,0
MAC000205,Std,2011-11-29,2014-02-27,822,792.0,0
MAC000260,Std,2011-12-05,2014-02-27,816,786.0,0
MAC000348,Std,2012-03-09,2014-02-27,721,693.0,0
MAC000423,Std,2012-03-21,2014-02-27,709,682.0,0
MAC000455,Std,2012-03-23,2014-02-27,707,681.0,0
MAC000499,Std,2012-03-26,2014-02-27,704,677.0,0
MAC000562,Std,2012-04-11,2014-02-27,688,657.0,0
MAC000567,Std,2012-04-11,2013-03-06,330,317.0,1
MAC000637,Std,2012-04-13,2014-02-27,683,654.0,0
MAC000769,Std,2012-04-20,2014-02-27,676,652.0,0
MAC000774,Std,2012-04-20,2013-11-22,582,560.0,1
MAC001043,Std,2012-05-03,2014-02-27,664,637.0,0
MAC001076,Std,2012-05-08,2014-02-27,659,632.0,0
MAC001120,Std,2012-05-09,2014-02-27,657,628.0,0
MAC001153,Std,2012-05-09,2014-02-27,659,630.0,0
MAC001159,Std,2012-05-09,2014-02-27,660,633.0,0
MAC001276,Std,2012-05-14,2014-02-27,653,627.0,0
MAC001503,Std,2012-05-22,2014-02-27,647,620.0,0
MAC001588,Std,2012-05-25,2014-02-27,643,622.0,0
MAC001620,Std,2012-05-26,2014-02-27,642,620.0,0
MAC001787,Std,2012-06-06,2014-02-27,631,602.0,0
MAC001863,Std,2012-06-07,2014-02-27,629,604.0,0
MAC001972,Std,2012-06-12,2014-02-27,626,601.0,0
MAC002162,Std,2012-06-20,2014-02-27,618,594.0,0
MAC002204,Std,2012-06-26,2014-02-27,612,590.0,0
MAC002255,Std,2012-04-23,2014-02-27,673,646.0,0
MAC002375,Std,2012-04-28,2014-02-27,669,641.0,0
MAC002376,Std,2012-04-28,2014-02-27,671,645.0,0
MAC002434,Std,2012-04-30,2014-02-27,667,644.0,0
MAC002481,Std,2012-05-01,2014-02-27,667,644.0,0
MAC002582,Std,2012-07-10,2014-02-27,597,575.0,0
MAC002627,Std,2012-05-03,2014-02-27,666,643.0,0
MAC002772,Std,2012-05-10,2014-02-27,656,627.0,0
MAC002777,Std,2012-05-10,2014-02-27,659,633.0,0
MAC002821,Std,2012-05-11,2014-02-27,655,631.0,0
MAC002857,Std,2012-05-11,2014-02-27,656,630.0,0
MAC002980,Std,2012-07-05,2014-02-27,601,583.0,0
MAC003009,Std,2012-05-15,2013-04-25,346,331.0,1
MAC003051,Std,2012-05-15,2014-02-27,652,627.0,0
MAC003136,Std,2012-07-14,2014-02-27,594,570.0,0
MAC003169,Std,2012-09-12,2014-02-27,534,515.0,0
MAC003172,Std,2012-09-12,2014-02-27,534,513.0,0
MAC003356,Std,2012-09-26,2014-02-27,520,501.0,0
MAC003403,Std,2012-09-28,2014-02-27,518,498.0,0
MAC003449,Std,2012-10-02,2014-02-27,513,491.0,0
MAC003535,Std,2012-10-08,2014-02-27,508,490.0,0
MAC003591,Std,2012-10-10,2014-02-27,506,487.0,0
MAC003632,Std,2012-10-12,2014-02-27,504,482.0,0
MAC003834,Std,2012-10-23,2014-02-27,493,476.0,0
MAC003901,Std,2012-10-26,2014-02-27,490,473.0,0
MAC004017,Std,2012-07-06,2014-02-27,602,580.0,0
MAC004119,Std,2012-05-19,2013-03-11,294,284.0,1
MAC004163,Std,2012-05-21,2014-02-27,648,625.0,0
MAC004321,Std,2012-05-25,2014-02-27,644,616.0,0
MAC004393,Std,2012-03-17,2014-02-27,712,684.0,0
MAC004428,Std,2012-03-19,2014-02-27,711,687.0,0
MAC004539,Std,2011-12-21,2014-02-27,800,772.0,0
MAC004562,Std,2011-12-22,2014-02-27,799,771.0,0
MAC004627,Std,2012-07-11,2014-02-27,597,574.0,0
MAC004654,Std,2012-07-12,2014-02-27,596,574.0,0
MAC004704,Std,2012-07-13,2013-09-05,420,400.0,1
MAC004737,Std,2012-04-02,2014-02-27,695,669.0,0
MAC004777,Std,2012-04-03,2014-02-27,693,663.0,0
MAC004852,Std,2011-12-29,2014-02-27,792,761.0,0
MAC004963,Std,2012-01-23,2014-02-27,767,740.0,0
MAC005032,Std,2012-01-31,2014-02-27,759,729.0,0
MAC005065,Std,2012-05-29,2014-02-16,628,604.0,0
MAC005066,Std,2012-05-29,2014-02-27,638,613.0,0
MAC005235,Std,2012-02-06,2014-02-13,739,712.0,0
MAC005236,Std,2012-02-06,2014-02-27,753,726.0,0
MAC005268,Std,2012-02-09,2014-02-27,750,723.0,0
MAC005375,Std,2012-02-23,2014-02-27,736,708.0,0
MAC005376,Std,2012-02-23,2014-02-27,736,709.0,0
MAC005389,Std,2012-02-25,2014-02-27,734,707.0,0
MAC005440,Std,2012-04-16,2014-02-27,683,653.0,0
MAC005543,Std,2012-04-18,2014-02-27,678,650.0,0
MAC000046,ToU,2011-12-08,2014-02-27,813,782.0,0
MAC000186,ToU,2011-11-28,2014-02-27,823,785.0,0
MAC000366,ToU,2012-03-12,2014-02-27,718,690.0,0
MAC000708,ToU,2012-04-19,2014-02-27,678,651.0,0
MAC000857,ToU,2012-04-26,2014-02-27,671,644.0,0
MAC001013,ToU,2012-05-02,2014-02-27,666,643.0,0
MAC001626,ToU,2012-05-26,2014-02-27,642,620.0,0
MAC001767,ToU,2012-06-06,2014-02-27,630,606.0,0
MAC001773,ToU,2012-06-06,2014-02-27,629,606.0,0
MAC002444,ToU,2012-04-30,2014-02-27,667,634.0,0
MAC002811,ToU,2012-05-10,2014-02-27,656,629.0,0
MAC003379,ToU,2012-09-27,2014-02-27,519,500.0,0
MAC003892,ToU,2012-10-26,2014-02-27,490,468.0,0
