grp,m,n_hh
Std,2011-11-01,51
Std,2011-12-01,354
Std,2012-01-01,483
Std,2012-02-01,700
Std,2012-03-01,1027
Std,2012-04-01,1651
Std,2012-05-01,2908
Std,2012-06-01,3367
Std,2012-07-01,3789
Std,2012-08-01,3801
Std,2012-09-01,3997
Std,2012-10-01,4405
Std,2012-11-01,4418
Std,2012-12-01,4419
Std,2013-01-01,4404
Std,2013-02-01,4382
Std,2013-03-01,4336
Std,2013-04-01,4308
Std,2013-05-01,4288
Std,2013-06-01,4267
Std,2013-07-01,4253
Std,2013-08-01,4218
Std,2013-09-01,4191
Std,2013-10-01,4161
Std,2013-11-01,4141
Std,2013-12-01,4087
Std,2014-01-01,4064
Std,2014-02-01,4013
ToU,2011-11-01,12
ToU,2011-12-01,57
ToU,2012-01-01,84
ToU,2012-02-01,129
ToU,2012-03-01,204
ToU,2012-04-01,384
ToU,2012-05-01,709
ToU,2012-06-01,834
ToU,2012-07-01,961
ToU,2012-08-01,963
ToU,2012-09-01,1010
ToU,2012-10-01,1116
ToU,2012-11-01,1116
ToU,2012-12-01,1116
ToU,2013-01-01,1111
ToU,2013-02-01,1108
ToU,2013-03-01,1106
ToU,2013-04-01,1101
ToU,2013-05-01,1093
ToU,2013-06-01,1089
ToU,2013-07-01,1088
ToU,2013-08-01,1076
ToU,2013-09-01,1063
ToU,2013-10-01,1055
ToU,2013-11-01,1054
ToU,2013-12-01,1047
ToU,2014-01-01,1043
ToU,2014-02-01,1042
