d,hhod,Std,ToU,signal,y,high,low
2013-01-01,0,0.24066916786649034,0.1954158420668635,normal,-0.20829343158477176,0.0,0.0
2013-01-01,1,0.21960959551637702,0.18138253836453289,normal,-0.19124313145679395,0.0,0.0
2013-01-01,2,0.20158162782037112,0.16553285358742745,normal,-0.19702471398238086,0.0,0.0
2013-01-01,3,0.18482878587088833,0.150789378975513,normal,-0.2035458928800682,0.0,0.0
2013-01-01,4,0.16783492517072696,0.14187038713354871,normal,-0.16806703396651046,0.0,0.0
2013-01-01,5,0.1540825376819945,0.13337623780428975,normal,-0.14431442760207824,0.0,0.0
2013-01-01,6,0.14544747626536944,0.12662916310610622,normal,-0.1385521941023673,0.0,0.0
2013-01-01,7,0.1373765349510732,0.11944824482725462,normal,-0.1398424062217669,0.0,0.0
2013-01-01,8,0.1325034106011249,0.11753465383534481,normal,-0.11987516912057927,0.0,0.0
2013-01-01,9,0.13228672122843366,0.10973717380387576,normal,-0.18688351970480266,0.0,0.0
2013-01-01,10,0.13203889034712407,0.11125022509222486,normal,-0.1713145586899385,0.0,0.0
2013-01-01,11,0.13541791743246084,0.11061926212427513,normal,-0.20227144717775847,0.0,0.0
2013-01-01,12,0.14500977737616694,0.11760576061999155,normal,-0.20946315119904235,0.0,0.0
2013-01-01,13,0.14179763535410653,0.12850045008384928,normal,-0.09846853110870812,0.0,0.0
2013-01-01,14,0.15192496608172998,0.13565796547836326,normal,-0.11324999657019141,0.0,0.0
2013-01-01,15,0.16298953614569903,0.1531062108875503,normal,-0.06255413395863352,0.0,0.0
2013-01-01,16,0.177557526243181,0.1645121515898703,normal,-0.07631021059562038,0.0,0.0
2013-01-01,17,0.19209868113789094,0.17925832573656397,normal,-0.0691812782283785,0.0,0.0
2013-01-01,18,0.20771577981098527,0.1936966702038159,normal,-0.06987732226591947,0.0,0.0
2013-01-01,19,0.21845338804280556,0.20815391517753531,normal,-0.048294881874446194,0.0,0.0
2013-01-01,20,0.2295336517339751,0.2223150316946683,normal,-0.03195421175704238,0.0,0.0
2013-01-01,21,0.24314029106285093,0.23342754258032347,normal,-0.04076688742246648,0.0,0.0
2013-01-01,22,0.25408594852925176,0.2372286231439346,normal,-0.06864825904671656,0.0,0.0
2013-01-01,23,0.2576246023896869,0.24136093601617548,normal,-0.06521002290608768,0.0,0.0
2013-01-01,24,0.2617455661698554,0.24337263693961772,normal,-0.07277915632725018,0.0,0.0
2013-01-01,25,0.2690552526445906,0.24872007239781804,normal,-0.07858870184381139,0.0,0.0
2013-01-01,26,0.2705416098831185,0.25273537398665946,normal,-0.06808292355670598,0.0,0.0
2013-01-01,27,0.26965757169851395,0.24533483393751856,normal,-0.09452895448127752,0.0,0.0
2013-01-01,28,0.27248703954023384,0.25450765035382594,normal,-0.06826015578383071,0.0,0.0
2013-01-01,29,0.27765484336089585,0.24878037770052,normal,-0.10980828166737555,0.0,0.0
2013-01-01,30,0.2841921325764213,0.2702169215812119,normal,-0.05042548288054438,0.0,0.0
2013-01-01,31,0.2947562529258968,0.2849234930098369,normal,-0.03392805487851702,0.0,0.0
2013-01-01,32,0.33120600303558556,0.3169738970999543,normal,-0.043921120500692634,0.0,0.0
2013-01-01,33,0.35578399279199624,0.3346723664830071,normal,-0.06117174211508636,0.0,0.0
2013-01-01,34,0.3846734881536271,0.36195405371610895,normal,-0.06087761141018189,0.0,0.0
2013-01-01,35,0.39247294223215984,0.37200810114254135,normal,-0.05355196655715044,0.0,0.0
2013-01-01,36,0.3962269210246154,0.38471917169993036,normal,-0.02947343605174846,0.0,0.0
2013-01-01,37,0.38929263339235004,0.3730720068247608,normal,-0.04255988293593482,0.0,0.0
2013-01-01,38,0.3866812185253677,0.3812466245406566,normal,-0.014154154622909254,0.0,0.0
2013-01-01,39,0.3738456118996744,0.3644734475754107,normal,-0.02538920714356785,0.0,0.0
2013-01-01,40,0.3591839474408937,0.343213321484959,normal,-0.045482463300785314,0.0,0.0
